EVENT_ID,ID_ALUMNO,case:concept:name,concept:name,time:timestamp
0,5,0,ICS1113,3
1,5,0,ICS2523,4
2,5,0,ICS2123,6
3,5,0,ICS2121,7
4,5,0,ICS2613,9
5,5,1,ICS1113,3
6,5,1,ICS2523,4
7,5,1,ICS2123,6
8,5,1,ICS2121,7
9,5,1,ICS2813,9
10,5,2,ICS1113,3
11,5,2,ICS2523,4
12,5,2,ICS2123,6
13,5,2,ICS2121,7
14,5,2,ICS2122,9
15,5,3,ICS1113,3
16,5,3,ICS2523,4
17,5,3,ICS2526,6
18,5,3,ICS2121,7
19,5,3,ICS2613,9
20,5,4,ICS1113,3
21,5,4,ICS2523,4
22,5,4,ICS2526,6
23,5,4,ICS2121,7
24,5,4,ICS2813,9
25,5,5,ICS1113,3
26,5,5,ICS2523,4
27,5,5,ICS2526,6
28,5,5,ICS2121,7
29,5,5,ICS2122,9
30,5,6,ICS1113,3
31,5,6,ICS2523,4
32,5,6,ICS2123,6
33,5,6,ICS2121,7
34,5,6,ICS2613,9
35,5,7,ICS1113,3
36,5,7,ICS2523,4
37,5,7,ICS2123,6
38,5,7,ICS2121,7
39,5,7,ICS2813,9
40,5,8,ICS1113,3
41,5,8,ICS2523,4
42,5,8,ICS2123,6
43,5,8,ICS2121,7
44,5,8,ICS2122,9
45,5,9,ICS1113,3
46,5,9,ICS2523,4
47,5,9,ICS2526,6
48,5,9,ICS2121,7
49,5,9,ICS2613,9
50,5,10,ICS1113,3
51,5,10,ICS2523,4
52,5,10,ICS2526,6
53,5,10,ICS2121,7
54,5,10,ICS2813,9
55,5,11,ICS1113,3
56,5,11,ICS2523,4
57,5,11,ICS2526,6
58,5,11,ICS2121,7
59,5,11,ICS2122,9
60,5,12,ICS1113,3
61,5,12,ICS2523,4
62,5,12,ICS2123,6
63,5,12,ICS2121,7
64,5,12,ICS2613,9
65,5,13,ICS1113,3
66,5,13,ICS2523,4
67,5,13,ICS2123,6
68,5,13,ICS2121,7
69,5,13,ICS2813,9
70,5,14,ICS1113,3
71,5,14,ICS2523,4
72,5,14,ICS2123,6
73,5,14,ICS2121,7
74,5,14,ICS2122,9
75,5,15,ICS1113,3
76,5,15,ICS2523,4
77,5,15,ICS2526,6
78,5,15,ICS2121,7
79,5,15,ICS2613,9
80,5,16,ICS1113,3
81,5,16,ICS2523,4
82,5,16,ICS2526,6
83,5,16,ICS2121,7
84,5,16,ICS2813,9
85,5,17,ICS1113,3
86,5,17,ICS2523,4
87,5,17,ICS2526,6
88,5,17,ICS2121,7
89,5,17,ICS2122,9
90,5,18,ICS1113,3
91,5,18,ICS2523,4
92,5,18,ICS2123,6
93,5,18,ICS2121,7
94,5,18,ICS2613,9
95,5,18,ICS2122,10
96,5,19,ICS1113,3
97,5,19,ICS2523,4
98,5,19,ICS2123,6
99,5,19,ICS2121,7
100,5,19,ICS2813,9
101,5,19,ICS2122,10
102,5,20,ICS1113,3
103,5,20,ICS2523,4
104,5,20,ICS2562,6
105,5,20,ICS2121,7
106,5,20,ICS2613,9
107,5,20,ICS2122,10
108,5,21,ICS1113,3
109,5,21,ICS2523,4
110,5,21,ICS2562,6
111,5,21,ICS2121,7
112,5,21,ICS2813,9
113,5,21,ICS2122,10
114,14,22,ICS1113,4
115,14,22,ICS2523,5
116,14,22,ICS2123,6
117,14,22,ICS2813,7
118,14,22,ICS2122,8
119,14,22,ICS2613,9
120,14,23,ICS1113,4
121,14,23,ICS2523,5
122,14,23,ICS2121,6
123,14,23,ICS2813,7
124,14,23,ICS2122,8
125,14,23,ICS2613,9
126,14,24,ICS1113,4
127,14,24,ICS2523,5
128,14,24,ICS2562,6
129,14,24,ICS2813,7
130,14,24,ICS2122,8
131,14,24,ICS2613,9
132,26,25,ICS1113,4
133,26,25,ICS2523,5
134,26,25,ICS2123,6
135,26,25,ICS2613,7
136,26,25,ICS2122,8
137,26,26,ICS1113,4
138,26,26,ICS2523,5
139,26,26,ICS2562,6
140,26,26,ICS2613,7
141,26,26,ICS2122,8
142,26,27,ICS1113,4
143,26,27,ICS2523,5
144,26,27,ICS2813,6
145,26,27,ICS2613,7
146,26,27,ICS2122,8
147,26,28,ICS1113,4
148,26,28,ICS2121,5
149,26,28,ICS2123,6
150,26,28,ICS2613,7
151,26,28,ICS2122,8
152,26,29,ICS1113,4
153,26,29,ICS2121,5
154,26,29,ICS2562,6
155,26,29,ICS2613,7
156,26,29,ICS2122,8
157,26,30,ICS1113,4
158,26,30,ICS2121,5
159,26,30,ICS2813,6
160,26,30,ICS2613,7
161,26,30,ICS2122,8
162,55,31,ICS1113,4
163,55,31,ICS2523,5
164,55,31,ICS2121,7
165,55,31,ICS2123,8
166,55,31,ICS2122,10
167,55,32,ICS1113,4
168,55,32,ICS2523,5
169,55,32,ICS2121,7
170,55,32,ICS2613,8
171,55,32,ICS2122,10
172,55,33,ICS1113,4
173,55,33,ICS2523,5
174,55,33,ICS2121,7
175,55,33,ICS2813,8
176,55,33,ICS2122,10
177,55,34,ICS1113,4
178,55,34,ICS2562,5
179,55,34,ICS2121,7
180,55,34,ICS2123,8
181,55,34,ICS2122,10
182,55,35,ICS1113,4
183,55,35,ICS2562,5
184,55,35,ICS2121,7
185,55,35,ICS2613,8
186,55,35,ICS2122,10
187,55,36,ICS1113,4
188,55,36,ICS2562,5
189,55,36,ICS2121,7
190,55,36,ICS2813,8
191,55,36,ICS2122,10
192,96,37,ICS1113,6
193,96,37,ICS2613,7
194,96,37,ICS2121,10
195,96,38,ICS1113,6
196,96,38,ICS2613,7
197,96,38,ICS2122,10
198,96,39,ICS1113,6
199,96,39,ICS2523,7
200,96,39,ICS2121,10
201,96,40,ICS1113,6
202,96,40,ICS2523,7
203,96,40,ICS2122,10
204,96,41,ICS1113,6
205,96,41,ICS2562,7
206,96,41,ICS2121,10
207,96,42,ICS1113,6
208,96,42,ICS2562,7
209,96,42,ICS2122,10
210,96,43,ICS1113,6
211,96,43,ICS2813,7
212,96,43,ICS2121,10
213,96,44,ICS1113,6
214,96,44,ICS2813,7
215,96,44,ICS2122,10
216,96,45,ICS1113,6
217,96,45,ICS2123,7
218,96,45,ICS2121,10
219,96,46,ICS1113,6
220,96,46,ICS2123,7
221,96,46,ICS2122,10
222,98,47,ICS1113,3
223,98,47,ICS2523,4
224,98,47,ICS2123,5
225,98,47,ICS2813,6
226,98,47,ICS2562,7
227,98,47,ICS2121,10
228,98,48,ICS1113,3
229,98,48,ICS2523,4
230,98,48,ICS2123,5
231,98,48,ICS2813,6
232,98,48,ICS2562,7
233,98,48,ICS2122,10
234,98,49,ICS1113,3
235,98,49,ICS2523,4
236,98,49,ICS2123,5
237,98,49,ICS2813,6
238,98,49,ICS2613,7
239,98,49,ICS2121,10
240,98,50,ICS1113,3
241,98,50,ICS2523,4
242,98,50,ICS2123,5
243,98,50,ICS2813,6
244,98,50,ICS2613,7
245,98,50,ICS2122,10
246,104,51,ICS2523,5
247,104,51,ICS1113,7
248,104,51,ICS2121,8
249,104,51,ICS2562,9
250,104,51,ICS2122,10
251,104,51,ICS2613,11
252,104,52,ICS2523,5
253,104,52,ICS1113,7
254,104,52,ICS2121,8
255,104,52,ICS2562,9
256,104,52,ICS2122,10
257,104,52,ICS2123,11
258,104,53,ICS2523,5
259,104,53,ICS1113,7
260,104,53,ICS2121,8
261,104,53,ICS2813,9
262,104,53,ICS2122,10
263,104,53,ICS2613,11
264,104,54,ICS2523,5
265,104,54,ICS1113,7
266,104,54,ICS2121,8
267,104,54,ICS2813,9
268,104,54,ICS2122,10
269,104,54,ICS2123,11
270,105,55,ICS1113,1
271,105,55,ICS2123,2
272,105,55,ICS2613,3
273,105,55,ICS2562,4
274,105,55,ICS2121,5
275,105,55,ICS2122,7
276,105,56,ICS1113,1
277,105,56,ICS2123,2
278,105,56,ICS2613,3
279,105,56,ICS2562,4
280,105,56,ICS2121,5
281,105,56,ICS2813,7
282,105,57,ICS1113,1
283,105,57,ICS2523,2
284,105,57,ICS2613,3
285,105,57,ICS2562,4
286,105,57,ICS2121,5
287,105,57,ICS2122,7
288,105,58,ICS1113,1
289,105,58,ICS2523,2
290,105,58,ICS2613,3
291,105,58,ICS2562,4
292,105,58,ICS2121,5
293,105,58,ICS2813,7
294,121,59,ICS1113,4
295,121,59,ICS2123,5
296,121,59,ICS2121,6
297,121,59,ICS2613,7
298,121,59,ICS2122,8
299,121,60,ICS1113,4
300,121,60,ICS2123,5
301,121,60,ICS2121,6
302,121,60,ICS2813,7
303,121,60,ICS2122,8
304,121,61,ICS1113,4
305,121,61,ICS2123,5
306,121,61,ICS2562,6
307,121,61,ICS2613,7
308,121,61,ICS2122,8
309,121,62,ICS1113,4
310,121,62,ICS2123,5
311,121,62,ICS2562,6
312,121,62,ICS2813,7
313,121,62,ICS2122,8
314,121,63,ICS1113,4
315,121,63,ICS2523,5
316,121,63,ICS2121,6
317,121,63,ICS2613,7
318,121,63,ICS2122,8
319,121,64,ICS1113,4
320,121,64,ICS2523,5
321,121,64,ICS2121,6
322,121,64,ICS2813,7
323,121,64,ICS2122,8
324,121,65,ICS1113,4
325,121,65,ICS2523,5
326,121,65,ICS2562,6
